#######################
# Graph of Olin-Rice 2nd floor, made of roughly 2x2 meter cells

Number of Nodes: ???

Nodes:


Markers:

Invalid Locations:

Edges:
0 1
0 19
0 20

1 2
1 18
1 19

2 3
2 18

3 4
4 5
5 6
6 7
7 8
8 9
9 10
10 11
11 12
12 13
13 14
14 15
15 16
16 17

17 79

18 19

19 20
19 21

20 21
21 22
22 23
23 24
24 25
25 26

26 27
26 44

27 28
28 29
29 30
30 31
31 32
32 33
33 34
34 35
35 36
36 37
37 38
38 39
39 40
40 41
41 42
42 43

43 72

44 45
45 46
46 47
47 48
48 49
49 50
50 51
51 52
52 53
53 54
54 55
55 56
56 57
57 58
58 59
59 60
60 61
61 62
62 63
63 64
64 65

65 66
65 67

66 67
66 92
66 93

67 68
67 91
67 92
67 93

68 69
68 90
68 91
68 92

69 70
69 89
69 90
69 91

70 71
70 88
70 89
70 90

71 72
71 87
71 88
71 89

72 73
72 86
72 87
72 88

73 74
73 85
73 86
73 87

74 75
74 84
74 85
74 86

75 76
75 83
75 84
75 85

76 77
76 82
76 83
76 84

77 78
77 81
77 82
77 83

78 79
78 80
78 81
78 82

79 80
79 81


