# This maps roughly 2x2 meter squares in the Olin-Rice map to cell numbers for
# use with deep learning. In some places the dimensions are a bit different
# Each cell's location is given by (x1, y1) and (x2, y2), where x1 < x2, and y1 < y2, and
# a location (x, y) is in the cell if x1 <= x < x2 and y1 <= y < y2
# cellNumber x1 y1 x2 y2
0 5 6 7 8
1 5 8 7 10
2 5 10 7 12
3 5 12 7 14
4 5 14 7 16
5 5 16 7 18
6 5 18 7 20
7 5 20 7 22
8 5 22 7 24
9 5 24 7 26
10 5 26 7 28
11 5 28 7 30
12 5 30 7 32
13 5 32 7 34
14 5 34 7 36
15 5 36 7 38
16 5 38 7 40
17 5 40 7 42
18 7 9 10 12
19 7 7 10 9
20 7 5 9 7
21 9 5 11 7
22 11 5 13 7
23 13 5 15 7
24 15 5 17 7
25 17 5 19 7
26 19 5 21 7
27 18 7 21 9
28 18 9 21 11
29 19 11 21 13
30 19 13 21 15
31 19 15 21 17
32 18 17 21 19
33 19 19 21 21
34 19 21 22 23
35 19 23 22 25
36 18 25 21 27
37 19 27 21 29
38 19 29 21 31
39 19 31 21 34
40 19 34 21 36
41 18 36 21 38
42 18 38 21 40
43 19 40 21 42
44 21 5 23 7
45 23 5 25 7
46 25 5 27 7
47 27 5 30 7
48 30 5 33 7
49 30 7 33 9
50 30 9 33 11
51 30 11 33 13
52 30 13 33 15
53 30 15 33 17
54 30 17 33 19
55 30 19 33 21
56 29 21 33 23
57 29 23 32 25
58 29 25 33 27
59 29 27 32 29
60 30 29 32 31
61 30 31 33 33
62 30 33 33 35
63 30 35 33 38
64 30 38 33 40
65 30 40 32 42
66 31 42 33 44
67 29 42 31 44
68 27 42 29 44
69 25 42 27 44
70 23 42 25 44
71 21 42 23 44
72 19 42 21 44
73 17 42 19 44
74 15 42 17 44
75 13 42 15 44
76 11 42 13 44
77 9 42 11 44
78 7 42 9 44
79 5 42 7 44
80 5 44 7 46
81 7 44 9 46
82 9 44 11 46
83 11 44 13 46
84 13 44 15 46
85 15 44 17 46
86 17 44 19 46
87 19 44 21 46
88 21 44 23 46
89 23 44 25 46
90 25 44 27 46
91 27 44 29 46
92 29 44 31 46
93 31 44 33 46
94 31 46 34 48
95 29 46 31 48
96 31 48 34 50
97 29 48 31 50
98 31 50 34 52
99 29 50 31 52
100 31 52 34 54
101 29 52 31 54
102 31 54 33 56
103 29 54 31 56
104 27 54 29 56
105 25 54 27 56
106 23 54 25 56
107 21 54 23 56
108 19 54 21 56
109 17 54 19 56
110 15 54 17 56
111 13 54 15 56
112 11 54 13 56
113 9 54 11 56
114 9 52 11 54
115 9 50 11 52
116 9 48 11 50
117 9 46 11 48
118 7 46 9 48
119 5 46 7 48
120 7 48 9 50
121 5 48 7 50
122 7 50 9 52
123 5 50 7 52
124 7 52 9 54
125 5 52 7 54
126 7 54 9 56
127 5 54 7 56
128 5 56 7 59
129 7 56 9 59
130 9 56 11 59
131 11 56 13 58.6
132 13 56 15 58.6
133 15 56 17 58.6
